序號,統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期
1,24531990,妙有投資股份有限公司,臺北市士林區天母東路77之5號2樓,黃月敏,100000000,1030401
2,24532007,摩力科廣告有限公司,臺北市中山區復興南路1段30巷14號3樓,蔡雅玲,3000000,1030401
3,24532013,香吧佬有限公司,臺北市大安區瑞安街208巷11弄2號1樓,傅芝芸,1000000,1030401
4,24532029,近山設計有限公司,臺北市士林區前街79之1號1樓,張延光,3000000,1030401
5,24532040,菩芳渟股份有限公司,臺北市中山區民生西路16號6樓之2,陳逸群,1000000,1030401
6,24532055,叱吒國際有限公司,臺北市松山區南京東路5段59巷29弄20號,陳奕先,500000,1030401
7,24532061,安陽事業有限公司,臺北市北投區雙全街16號,林誌偉,100000,1030401
8,24532077,台灣卓爾醫療器材有限公司,臺北市松山區復興北路179號5樓,Scott Rodgers,250000,1030401
9,24532082,首藝餐飲有限公司,臺北市松山區敦化北路155巷17號,詹維誌,3000000,1030401
10,24532098,擎引有限公司,臺北市中山區南京東路3段201號3樓,羅麗利,700000,1030401
11,24532105,佳值化學股份有限公司,臺北市中山區松江路168號7樓,陳力彰,36000000,1030401
12,24532111,康恩朋國際有限公司,臺北市文山區興隆路4段115巷5號7樓,王智勇,3000000,1030401
13,24532127,高威資本管理顧問有限公司,臺北市中山區林森北路85巷77號5樓之1,施謙祥,200000,1030401
14,24532132,龍成精品國際有限公司,臺北市萬華區成都路27巷1號,邱垂琪,500000,1030401
15,24532148,固德寶自然莊園股份有限公司,臺北市大安區安和路1段104號9樓,王焉銘,1000000,1030401
16,24532153,伯偉傳媒行銷有限公司,臺北市大安區信義路4段279號6樓之1,王俊凱,1000000,1030401
17,24532169,七的音樂有限公司,臺北市北投區中和街錫安巷108之3號,林庭竹,50000,1030401
18,24532175,旅靈資訊有限公司,臺北市中正區許昌街42之1號10樓,周德曄,300000,1030401
19,24532180,陽曜有限公司,臺北市大同區敦煌路110號1樓,阮新吉,5000000,1030401
20,24532196,元鉦科技有限公司,臺北市萬華區萬大路493巷48弄1號5樓,詹振忠,1000000,1030401
21,24532203,遺傳軌跡股份有限公司,臺北市松山區民生東路3段128號10樓之2,林玉祥,1000000,1030402
22,24532219,好意投資股份有限公司,臺北市松山區民生東路5段167號10樓,陳立恒,131313920,1030402
23,24532225,台畜敦南股份有限公司,臺北市大安區敦化南路2段71號4樓,張裕屏,57000000,1030403
24,24532230,色彩自由有限公司,臺北市松山區南京東路5段230號3樓,何潤源,250000,1030402
25,24532246,東光新科技有限公司,臺北市大安區光復南路260巷23號3樓,陳莉莉,5000000,1030328
26,24532251,昇耕有限公司,臺北市松山區八德路4段636號7樓之9,林袁秀美,300000,1030402
27,24532267,進達國際有限公司,臺北市士林區環河北路3段203號1樓,謝易玲,500000,1030402
28,24532273,大門實業股份有限公司,臺北市松山區八德路3段247號12樓,林益弘,3000000,1030402
29,24532288,禾倉有限公司,臺北市松山區南京東路5段316號6樓之4,張玫齡,500000,1030402
30,24532294,艾卡斯管理顧問有限公司,臺北市中山區德惠街8號10樓之3,蕭琳嵐,500000,1030402
31,24532301,演創意策略行銷國際有限公司,臺北市大安區安和路2段167號,陳瑋玲,300000,1030402
32,24532317,品泰有限公司,臺北市中正區忠孝西路1段66號28樓,許凱翔,990000,1030402
33,24532323,愷興投資有限公司,臺北市中正區?門街147巷8號7樓之1,朱正信,9001000,1030402
34,24532338,大展國際室內裝修有限公司,臺北市大安區東豐街7號3樓,余宗翰,1000000,1030402
35,24532359,聯通智慧國際股份有限公司,臺北市大安區復興南路2段237號9樓之6,章中堂,1000000,1030402
36,24532365,亞城貿易有限公司,臺北市文山區景興路31號4樓,林緯達,100000,1030402
37,24532371,瑞暘國際有限公司,臺北市信義區信義路5段8號14樓,高宇謙,1000000,1030402
38,24532386,恆謚資產顧問有限公司,臺北市中山區民權東路2段92巷7弄17號,李中睿,1000000,1030402
39,24532392,經緯趨勢國際投資有限公司,臺北市大安區信義路4段279號8樓,張明勝,2000000,1030402
40,24532409,合慶室內裝修工程有限公司,臺北市內湖區江南街65巷49號,王雨涵,1000000,1030402
41,24532415,台灣趣趣安娜股份有限公司,臺北市松山區新中街12號1樓,日野將彰,10000000,1030402
42,24532421,蓮花王生物科技有限公司,臺北市大安區光復南路412號7樓之2,張振興,900000,1030402
43,24532436,永邦亞太娛樂股份有限公司,臺北市信義區忠孝東路5段1-1號10樓,余炫鋒YEE YUEN FOMG,100000,1030402
44,24532457,華爾娛樂股份有限公司,臺北市信義區忠孝東路5段1-1號10樓,余炫鋒YEE YUEN FOMG,100000,1030402
45,24532463,真福記食品有限公司,臺北市中正區汀州路1段140巷31號3樓,李崇愷,1000000,1030402
46,24532479,博鑫企業有限公司,臺北市大同區民權西路146號13樓之2,蔡承翰,5000000,1030402
47,24532484,宇逸國際貿易股份有限公司,臺北市中山區復興南路1段2號3樓,陳凱廷,300000,1030402
48,24532490,豐裕企業股份有限公司,臺北市松山區民權東路3段106巷3弄55之1號9樓,李家琪,3600000,1030402
49,24532506,鉑瑪國際有限公司,臺北市中山區南京東路3段201號3樓,顏士昀,1000,1030402
50,24532512,盈和投資有限公司,臺北市信義區虎林街232巷27號1樓,王子儀,1000000,1030402
51,24532528,皇家城堡國際開發股份有限公司,臺北市中山區民生東路3段19號8樓,江朝煜,300000,1030402
52,24532533,智撼股份有限公司,臺北市信義區信義路5段8號14樓,朱?如,1000000,1030402
53,24532549,爵士至尊國際有限公司,臺北市中山區中山北路3段25號2樓之19,李美珍,200000,1030402
54,24532554,太鮮屋餐飲有限公司,臺北市大同區民權西路106之1號1樓,柯怡卉,1200000,1030402
55,24532560,天邑國際事業有限公司,臺北市松山區南京東路3段305號5樓,李美雲,5000000,1030403
