"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期"
"1","24807547","日商環球企業有限公司","臺北市中山區建國北路3段68號1樓","王蕙媛","500000","1050301"
"2","24807687","塞席爾商創享國際有限公司","新北市淡水區自強路128巷23號6樓","簡愛","1500000","1050302"
"3","24807764","薩摩亞商邦南國際有限公司","臺北市中山區中山北路2段59巷2號2樓之7","徐李煌","1000000","1050226"
"4","24807808","塞席爾商澤安股份有限公司","臺中市西區精誠三十一街1號","侯東仰","0","1050226"
"5","24807878","英屬維京群島商盈樺國際投資股份有限公司","臺北市大安區敦化南路1段161巷3號3樓","曾明樺","150000","1050301"
"6","24807883","香港商推推房互聯網有限公司","臺北市內湖區行愛路51號7樓","林家豪","1000000","1050304"
"7","24807899","貝里斯商友富材料有限公司","桃園市桃園區大興西路2段69巷108號2樓","黃初旺","200000","1050304"
"8","24807906","美商聯合碳化矽股份有限公司","新北市汐止區新台五路1段77號9樓","約翰克里斯多福德徠斯","0","1050303"
"9","24807912","海洋之星股份有限公司","金門縣金城鎮珠浦西路88巷11號","莊旭英","1000000","1050304"
"10","24807954","日商納德科股份有限公司","臺北市信義區基隆路2段51號14樓","香內仁","0","1050307"
"11","24807960","塞席爾商磊德資訊有限公司","臺中市南屯區文心路1段186號20樓","張洺橙","10000000","1050307"
"12","24807976","美商費侑德股份有限公司","高雄市三民區建國二路34號5樓","葉鋐曜","300000","1050304"
"13","24807981","日商橫浜八景島股份有限公司","臺北市松山區民生東路3段156號14樓","荒川 潤","0","1050304"
"14","24808004","香港商傑風網路有限公司","臺北市大安區復興南路2段237號6樓之1","章遠陽","1000000","1050307"
"15","24808026","美商悠樂芳有限公司","臺北市南港區忠孝東路6段21號5樓","Tyler  Williams","250000","1050307"
"16","24808052","香港商克里事業有限公司","臺北市松山區民生東路5段137巷4弄29號1樓","陳信廷","1000000","1050310"
"17","24808068","協力昇海運股份有限公司","金門縣烈嶼鄉林湖村湖下56號","洪翠金","1500000","1050308"
"18","24808089","瑞典商歐林斯賽車有限公司","臺中市南屯區東興路2段186號地下1層1號","柯尼斯","500000","1050308"
"19","24808102","薩摩亞商納美克有限公司","臺中市豐原區富陽路65號1樓","易文鳳","1000000","1050308"
"20","24808166","三聯預拌混凝土股份有限公司","金門縣金城鎮東門里環島西路1段30號6樓","黃朝宗","20000000","1050308"
"21","24808172","韓商梨樹飛達股份有限公司","臺北市信義區文昌街316號5樓之8","張玉璞","0","1050308"
"22","24808187","薩摩亞商世熹有限公司","臺北市大安區敦化南路1段376號3樓之1","陳瑞英","1000000","1050308"
"23","24808193","日商穎德股份有限公司","臺北市信義區基隆路2段51號14樓","栗田人見","0","1050308"
"24","24808200","塞席爾商磐石方勝有限公司","臺北市內湖區舊宗路2段169號3樓","陳照","6000000","1050309"
"25","24808216","日商三菱重工工作機械股份有限公司","臺北市松山區民生東路3段131號8樓","謝道弘","500000","1050309"
"26","24808243","勝騏國際地產有限公司","金門縣金寧鄉安美村西浦頭22號","莊大德","8000000","1050309"
"27","24808258","塞席爾商富陽國際有限公司","臺中市西屯區市政路386號13樓之7","楊蕙安","0","1050309"
"28","24808285","日商進櫻電機股份有限公司","臺北市中山區德惠街170巷6號1樓","細野智之","0","1050310"
"29","24808308","塞席爾商聖積科技有限公司","桃園市桃園區大有路708號","顏立盛","100000","1050310"
"30","24808314","大陸商東莞唐虞電子有限公司","臺北市中正區重慶南路3段129號3樓","鄧米秦","0","1050314"
"31","24808320","隆都營造有限公司","金門縣金沙鎮光前里蔡厝22號","蔡長林","3000000","1050314"
"32","24808362","香港商科勁創意有限公司","臺北市信義區基隆路1段155號8樓之8","黃宓芝","2000000","1050315"
"33","24808378","日商養命酒股份有限公司","臺北市信義區基隆路2段51號14樓","森脇久之","0","1050311"
"34","24808399","香港商全能科技貿易國際有限公司","臺北市大安區忠孝東路4段142號3樓之3","STADLER  PATRICIA  URSULA","0","1050311"
"35","24808428","薩摩亞商冠翔國際貿易有限公司","臺北市松山區光復南路1號3樓","莊秀珠","5000000","1050314"
"36","24808433","薩摩亞商億達國際股份有限公司","臺北市大安區敦化南路1段270巷29號","黃世杰","21150000","1050314"
"37","24808454","薩摩亞商愛旺電子科技有限公司","新北市汐止區新台五路1段75號8樓之2","陳慶隆","3100000","1050314"
"38","24808519","法商法創軟體有限公司","臺北市文山區景興路42巷4弄2號4樓","顏鼎晉","0","1050314"
"39","24808530","美商任力普股份有限公司","新竹縣竹北市高鐵七路65號4樓之8、4樓之9","Ali  Foughi","0","1050321"
"40","24808551","京泰企業有限公司","金門縣金城鎮前水頭53-1號","黃筱尹","1000000","1050315"
"41","24808567","英屬開曼群島商廣盈新能源集團有限公司","桃園市蘆竹區福昌里南順六街26號14樓之1","陳志龍","0","1050315"
"42","24808573","香港商瑞時鐘錶有限公司","臺北市中正區幸市里新生南路1段56號2樓之2","陳碧玟","10000000","1050321"
"43","24808588","英屬維京群島商伊撒可股份有限公司","基隆市中正區義一路95號4樓","陳致元","500000","1050325"
"44","24808594","塞席爾商悠福科技股份有限公司","臺北市中山區南京東路2段20號10樓","周立夫","1000000","1050315"
"45","24808601","達勝肆創業投資股份有限公司","臺北市信義區基隆路1段200號8樓之1","林秀玲","1500000000","1050316"
"46","24808671","英屬維京群島商艾頓技術有限公司","臺北市內湖區新湖一路85號4樓","王德賢","10000000","1050316"
"47","24808686","日商樂福喜股份有限公司","臺北市中山區松江路122號11樓","中村金春","0","1050316"
"48","24808709","澳商艾克利斯股份有限公司","新北市汐止區建成路59巷85號8樓","張金訓","0","1050316"
"49","24808715","惠普機電有限公司","金門縣金寧鄉安美村西浦頭106號1樓","陳明志","1000000","1050316"
"50","24808721","香港商維瑪生技有限公司","臺北市松山區八德路3段36號5樓","辜瑞標","1000000","1050318"
"51","24808736","美商亞斯朋空氣凝膠有限公司","臺北市南港區忠孝東路6段21號5樓","約翰費爾班","0","1050316"
"52","24808757","英屬維京群島商方案三三股份有限公司","新北市板橋區忠孝路261號3樓","黃士綱","5000000","1050317"
"53","24808784","香港商山麓下有限公司","臺北市信義區黎順里嘉興街219-2號","張麓","0","1050317"
"54","24808834","香港商司馬孫有限公司","臺北市松山區復興北路57號14樓之3","羅曼江","0","1050318"
"55","24808855","英屬安圭拉商楓謹股份有限公司","桃園市龜山區茶專路2-3號","李佩真","5000000","1050321"
"56","24808861","萬聖年營造有限公司","金門縣金城鎮中興路161巷7號3樓","李佳憲","3000000","1050321"
"57","24808877","香港商衣禾正業股份有限公司","新北市三重區福德南路36號2樓","廖永逸","5000000","1050321"
